% time	cellId	IMSI	RNTI	sinrLinear	componentCarrierId
0.041	1	1	1	1078.04	0
0.081	1	1	1	1079.77	0
0.121	1	1	1	1081.5	0
0.161	1	1	1	1083.23	0
0.201	1	1	1	1084.96	0
0.241	1	1	1	1086.7	0
0.281	1	1	1	1088.44	0
0.321	1	1	1	1090.18	0
0.361	1	1	1	1091.93	0
0.401	1	1	1	1093.68	0
0.441	1	1	1	1095.43	0
0.481	1	1	1	1097.18	0
0.521	1	1	1	1098.94	0
0.561	1	1	1	1100.7	0
0.601	1	1	1	1102.46	0
0.641	1	1	1	1104.22	0
0.681	1	1	1	1105.99	0
0.721	1	1	1	1107.76	0
0.761	1	1	1	1109.54	0
0.801	1	1	1	1111.31	0
0.841	1	1	1	1113.09	0
0.881	1	1	1	1114.87	0
0.921	1	1	1	1116.65	0
0.961	1	1	1	1118.44	0
1.001	1	1	1	1120.23	0
1.041	1	1	1	1122.02	0
1.081	1	1	1	1123.82	0
1.121	1	1	1	1125.62	0
1.161	1	1	1	1127.42	0
1.201	1	1	1	1129.22	0
1.241	1	1	1	1131.03	0
1.281	1	1	1	1132.83	0
1.321	1	1	1	1134.65	0
1.361	1	1	1	1136.46	0
1.401	1	1	1	1138.28	0
1.441	1	1	1	1140.1	0
1.481	1	1	1	1141.92	0
1.521	1	1	1	1143.74	0
1.561	1	1	1	1145.57	0
1.601	1	1	1	1147.4	0
1.641	1	1	1	1149.24	0
1.681	1	1	1	1151.07	0
1.721	1	1	1	1152.91	0
1.761	1	1	1	1154.75	0
1.801	1	1	1	1156.6	0
1.841	1	1	1	1158.44	0
1.881	1	1	1	1160.29	0
1.921	1	1	1	1162.14	0
1.961	1	1	1	1164	0
2.001	1	1	1	1166.08	0
2.041	1	1	1	1177.9	0
2.081	1	1	1	1189.89	0
2.121	1	1	1	1202.06	0
2.161	1	1	1	1214.42	0
2.201	1	1	1	1226.97	0
2.241	1	1	1	1239.72	0
2.281	1	1	1	1252.66	0
2.321	1	1	1	1265.81	0
2.361	1	1	1	1279.16	0
2.401	1	1	1	1292.73	0
2.441	1	1	1	1306.51	0
2.481	1	1	1	1320.51	0
2.521	1	1	1	1334.74	0
2.561	1	1	1	1349.19	0
2.601	1	1	1	1363.88	0
2.641	1	1	1	1378.81	0
2.681	1	1	1	1393.99	0
2.721	1	1	1	1409.41	0
2.761	1	1	1	1425.09	0
2.801	1	1	1	1441.04	0
2.841	1	1	1	1457.24	0
2.881	1	1	1	1473.73	0
2.921	1	1	1	1490.49	0
2.961	1	1	1	1507.54	0
3.001	1	1	1	1524.88	0
3.041	1	1	1	1542.52	0
3.081	1	1	1	1560.46	0
3.121	1	1	1	1578.72	0
3.161	1	1	1	1597.3	0
3.201	1	1	1	1616.2	0
3.241	1	1	1	1635.44	0
3.281	1	1	1	1655.03	0
3.321	1	1	1	1674.96	0
3.361	1	1	1	1695.26	0
3.401	1	1	1	1715.92	0
3.441	1	1	1	1736.96	0
3.481	1	1	1	1758.39	0
3.521	1	1	1	1780.21	0
3.561	1	1	1	1802.43	0
3.601	1	1	1	1825.08	0
3.641	1	1	1	1848.15	0
3.681	1	1	1	1871.65	0
3.721	1	1	1	1895.6	0
3.761	1	1	1	1920.01	0
3.801	1	1	1	1944.9	0
3.841	1	1	1	1970.26	0
3.881	1	1	1	1996.12	0
3.921	1	1	1	2022.49	0
3.961	1	1	1	2049.37	0
4.001	1	1	1	2076.8	0
4.041	1	1	1	2104.77	0
4.081	1	1	1	2133.3	0
4.121	1	1	1	2162.42	0
4.161	1	1	1	2192.12	0
4.201	1	1	1	2222.44	0
4.241	1	1	1	2253.39	0
4.281	1	1	1	2284.98	0
4.321	1	1	1	2317.23	0
4.361	1	1	1	2350.16	0
4.401	1	1	1	2383.79	0
4.441	1	1	1	2418.14	0
4.481	1	1	1	2453.23	0
4.521	1	1	1	2489.08	0
4.561	1	1	1	2525.71	0
4.601	1	1	1	2563.15	0
4.641	1	1	1	2601.42	0
4.681	1	1	1	2640.54	0
4.721	1	1	1	2680.54	0
4.761	1	1	1	2721.44	0
4.801	1	1	1	2763.28	0
4.841	1	1	1	2806.07	0
4.881	1	1	1	2849.85	0
4.921	1	1	1	2894.66	0
4.961	1	1	1	2940.51	0
5.001	1	1	1	2987.45	0
5.041	1	1	1	3035.5	0
5.081	1	1	1	3084.71	0
5.121	1	1	1	3135.1	0
5.161	1	1	1	3186.72	0
5.201	1	1	1	3239.61	0
5.241	1	1	1	3293.81	0
5.281	1	1	1	3349.35	0
5.321	1	1	1	3406.3	0
5.361	1	1	1	3464.68	0
5.401	1	1	1	3524.55	0
5.441	1	1	1	3585.96	0
5.481	1	1	1	3648.97	0
5.521	1	1	1	3713.62	0
5.561	1	1	1	3779.97	0
5.601	1	1	1	3848.09	0
5.641	1	1	1	3918.03	0
5.681	1	1	1	3989.86	0
5.721	1	1	1	4063.65	0
5.761	1	1	1	4139.46	0
5.801	1	1	1	4217.37	0
5.841	1	1	1	4297.46	0
5.881	1	1	1	4379.81	0
5.921	1	1	1	4464.49	0
5.961	1	1	1	4551.61	0
6.001	1	1	1	4641.24	0
6.041	1	1	1	4733.49	0
6.081	1	1	1	4828.45	0
6.121	1	1	1	4926.23	0
6.161	1	1	1	5026.95	0
6.201	1	1	1	5130.7	0
6.241	1	1	1	5237.63	0
6.281	1	1	1	5333.66	0
6.321	1	1	1	5333.75	0
6.361	1	1	1	5333.84	0
6.401	1	1	1	5333.93	0
6.441	1	1	1	5334.02	0
6.481	1	1	1	5334.12	0
6.521	1	1	1	5334.22	0
6.561	1	1	1	5334.31	0
6.601	1	1	1	5334.41	0
6.641	1	1	1	5334.52	0
6.681	1	1	1	5334.62	0
6.721	1	1	1	5334.73	0
6.761	1	1	1	5334.84	0
6.801	1	1	1	5334.95	0
6.841	1	1	1	5335.06	0
6.881	1	1	1	5335.17	0
6.921	1	1	1	5335.29	0
6.961	1	1	1	5335.41	0
7.001	1	1	1	5335.53	0
7.041	1	1	1	5335.65	0
7.081	1	1	1	5335.78	0
7.121	1	1	1	5335.91	0
7.161	1	1	1	5336.04	0
7.201	1	1	1	5336.17	0
7.241	1	1	1	5336.3	0
7.281	1	1	1	5336.44	0
7.321	1	1	1	5336.58	0
7.361	1	1	1	5336.72	0
7.401	1	1	1	5336.87	0
7.441	1	1	1	5337.02	0
7.481	1	1	1	5337.17	0
7.521	1	1	1	5337.32	0
7.561	1	1	1	5337.48	0
7.601	1	1	1	5337.63	0
7.641	1	1	1	5337.79	0
7.681	1	1	1	5337.96	0
7.721	1	1	1	5338.12	0
7.761	1	1	1	5338.29	0
7.801	1	1	1	5338.46	0
7.841	1	1	1	5338.63	0
7.881	1	1	1	5338.81	0
7.921	1	1	1	5338.99	0
7.961	1	1	1	5339.17	0
8.001	1	1	1	5339.35	0
8.041	1	1	1	5339.53	0
8.081	1	1	1	5339.71	0
8.121	1	1	1	5339.89	0
8.161	1	1	1	5340.08	0
8.201	1	1	1	5340.26	0
8.241	1	1	1	5340.44	0
8.281	1	1	1	5340.63	0
