% time	cellId	IMSI	RNTI	layer	mcs	size	rv	ndi	ccId
27	1	1	1	0	0	81	0	1	0
28	1	1	1	0	28	2196	0	1	0
29	1	1	1	0	28	2196	0	1	0
37	1	1	1	0	28	2196	0	1	0
39	1	1	1	0	28	2196	0	1	0
47	1	1	1	0	28	2196	0	1	0
49	1	1	1	0	28	2196	0	1	0
57	1	1	1	0	28	2196	0	1	0
59	1	1	1	0	28	2196	0	1	0
67	1	1	1	0	28	2196	0	1	0
69	1	1	1	0	28	2196	0	1	0
77	1	1	1	0	28	2196	0	1	0
79	1	1	1	0	28	2196	0	1	0
87	1	1	1	0	28	2196	0	1	0
89	1	1	1	0	28	2196	0	1	0
97	1	1	1	0	28	2196	0	1	0
99	1	1	1	0	28	2196	0	1	0
107	1	1	1	0	28	2196	0	1	0
109	1	1	1	0	28	2196	0	1	0
117	1	1	1	0	28	2196	0	1	0
119	1	1	1	0	28	2196	0	1	0
127	1	1	1	0	28	2196	0	1	0
129	1	1	1	0	28	2196	0	1	0
137	1	1	1	0	28	2196	0	1	0
139	1	1	1	0	28	2196	0	1	0
147	1	1	1	0	28	2196	0	1	0
149	1	1	1	0	28	2196	0	1	0
157	1	1	1	0	28	2196	0	1	0
159	1	1	1	0	28	2196	0	1	0
167	1	1	1	0	28	2196	0	1	0
169	1	1	1	0	28	2196	0	1	0
177	1	1	1	0	28	2196	0	1	0
179	1	1	1	0	28	2196	0	1	0
187	1	1	1	0	28	2196	0	1	0
189	1	1	1	0	28	2196	0	1	0
197	1	1	1	0	28	2196	0	1	0
199	1	1	1	0	28	2196	0	1	0
207	1	1	1	0	28	2196	0	1	0
209	1	1	1	0	28	2196	0	1	0
217	1	1	1	0	28	2196	0	1	0
219	1	1	1	0	28	2196	0	1	0
227	1	1	1	0	28	2196	0	1	0
229	1	1	1	0	28	2196	0	1	0
237	1	1	1	0	28	2196	0	1	0
239	1	1	1	0	28	2196	0	1	0
247	1	1	1	0	28	2196	0	1	0
249	1	1	1	0	28	2196	0	1	0
257	1	1	1	0	28	2196	0	1	0
259	1	1	1	0	28	2196	0	1	0
267	1	1	1	0	28	2196	0	1	0
269	1	1	1	0	28	2196	0	1	0
277	1	1	1	0	28	2196	0	1	0
279	1	1	1	0	28	2196	0	1	0
287	1	1	1	0	28	2196	0	1	0
289	1	1	1	0	28	2196	0	1	0
297	1	1	1	0	28	2196	0	1	0
299	1	1	1	0	28	2196	0	1	0
307	1	1	1	0	28	2196	0	1	0
309	1	1	1	0	28	2196	0	1	0
317	1	1	1	0	28	2196	0	1	0
319	1	1	1	0	28	2196	0	1	0
327	1	1	1	0	28	2196	0	1	0
329	1	1	1	0	28	2196	0	1	0
337	1	1	1	0	28	2196	0	1	0
339	1	1	1	0	28	2196	0	1	0
347	1	1	1	0	28	2196	0	1	0
349	1	1	1	0	28	2196	0	1	0
357	1	1	1	0	28	2196	0	1	0
359	1	1	1	0	28	2196	0	1	0
367	1	1	1	0	28	2196	0	1	0
369	1	1	1	0	28	2196	0	1	0
377	1	1	1	0	28	2196	0	1	0
379	1	1	1	0	28	2196	0	1	0
387	1	1	1	0	28	2196	0	1	0
389	1	1	1	0	28	2196	0	1	0
397	1	1	1	0	28	2196	0	1	0
399	1	1	1	0	28	2196	0	1	0
407	1	1	1	0	28	2196	0	1	0
409	1	1	1	0	28	2196	0	1	0
417	1	1	1	0	28	2196	0	1	0
419	1	1	1	0	28	2196	0	1	0
427	1	1	1	0	28	2196	0	1	0
429	1	1	1	0	28	2196	0	1	0
437	1	1	1	0	28	2196	0	1	0
439	1	1	1	0	28	2196	0	1	0
447	1	1	1	0	28	2196	0	1	0
449	1	1	1	0	28	2196	0	1	0
457	1	1	1	0	28	2196	0	1	0
459	1	1	1	0	28	2196	0	1	0
467	1	1	1	0	28	2196	0	1	0
469	1	1	1	0	28	2196	0	1	0
477	1	1	1	0	28	2196	0	1	0
479	1	1	1	0	28	2196	0	1	0
487	1	1	1	0	28	2196	0	1	0
489	1	1	1	0	28	2196	0	1	0
497	1	1	1	0	28	2196	0	1	0
499	1	1	1	0	28	2196	0	1	0
507	1	1	1	0	28	2196	0	1	0
509	1	1	1	0	28	2196	0	1	0
517	1	1	1	0	28	2196	0	1	0
519	1	1	1	0	28	2196	0	1	0
527	1	1	1	0	28	2196	0	1	0
529	1	1	1	0	28	2196	0	1	0
537	1	1	1	0	28	2196	0	1	0
539	1	1	1	0	28	2196	0	1	0
547	1	1	1	0	28	2196	0	1	0
549	1	1	1	0	28	2196	0	1	0
557	1	1	1	0	28	2196	0	1	0
559	1	1	1	0	28	2196	0	1	0
567	1	1	1	0	28	2196	0	1	0
569	1	1	1	0	28	2196	0	1	0
577	1	1	1	0	28	2196	0	1	0
579	1	1	1	0	28	2196	0	1	0
587	1	1	1	0	28	2196	0	1	0
589	1	1	1	0	28	2196	0	1	0
597	1	1	1	0	28	2196	0	1	0
599	1	1	1	0	28	2196	0	1	0
607	1	1	1	0	28	2196	0	1	0
609	1	1	1	0	28	2196	0	1	0
617	1	1	1	0	28	2196	0	1	0
619	1	1	1	0	28	2196	0	1	0
627	1	1	1	0	28	2196	0	1	0
629	1	1	1	0	28	2196	0	1	0
637	1	1	1	0	28	2196	0	1	0
639	1	1	1	0	28	2196	0	1	0
647	1	1	1	0	28	2196	0	1	0
649	1	1	1	0	28	2196	0	1	0
657	1	1	1	0	28	2196	0	1	0
659	1	1	1	0	28	2196	0	1	0
667	1	1	1	0	28	2196	0	1	0
669	1	1	1	0	28	2196	0	1	0
677	1	1	1	0	28	2196	0	1	0
679	1	1	1	0	28	2196	0	1	0
687	1	1	1	0	28	2196	0	1	0
689	1	1	1	0	28	2196	0	1	0
697	1	1	1	0	28	2196	0	1	0
699	1	1	1	0	28	2196	0	1	0
707	1	1	1	0	28	2196	0	1	0
709	1	1	1	0	28	2196	0	1	0
717	1	1	1	0	28	2196	0	1	0
719	1	1	1	0	28	2196	0	1	0
727	1	1	1	0	28	2196	0	1	0
729	1	1	1	0	28	2196	0	1	0
737	1	1	1	0	28	2196	0	1	0
739	1	1	1	0	28	2196	0	1	0
747	1	1	1	0	28	2196	0	1	0
749	1	1	1	0	28	2196	0	1	0
757	1	1	1	0	28	2196	0	1	0
759	1	1	1	0	28	2196	0	1	0
767	1	1	1	0	28	2196	0	1	0
769	1	1	1	0	28	2196	0	1	0
777	1	1	1	0	28	2196	0	1	0
779	1	1	1	0	28	2196	0	1	0
787	1	1	1	0	28	2196	0	1	0
789	1	1	1	0	28	2196	0	1	0
797	1	1	1	0	28	2196	0	1	0
799	1	1	1	0	28	2196	0	1	0
807	1	1	1	0	28	2196	0	1	0
809	1	1	1	0	28	2196	0	1	0
817	1	1	1	0	28	2196	0	1	0
819	1	1	1	0	28	2196	0	1	0
827	1	1	1	0	28	2196	0	1	0
829	1	1	1	0	28	2196	0	1	0
837	1	1	1	0	28	2196	0	1	0
839	1	1	1	0	28	2196	0	1	0
847	1	1	1	0	28	2196	0	1	0
849	1	1	1	0	28	2196	0	1	0
857	1	1	1	0	28	2196	0	1	0
859	1	1	1	0	28	2196	0	1	0
867	1	1	1	0	28	2196	0	1	0
869	1	1	1	0	28	2196	0	1	0
877	1	1	1	0	28	2196	0	1	0
879	1	1	1	0	28	2196	0	1	0
887	1	1	1	0	28	2196	0	1	0
889	1	1	1	0	28	2196	0	1	0
897	1	1	1	0	28	2196	0	1	0
899	1	1	1	0	28	2196	0	1	0
907	1	1	1	0	28	2196	0	1	0
909	1	1	1	0	28	2196	0	1	0
917	1	1	1	0	28	2196	0	1	0
919	1	1	1	0	28	2196	0	1	0
927	1	1	1	0	28	2196	0	1	0
929	1	1	1	0	28	2196	0	1	0
937	1	1	1	0	28	2196	0	1	0
939	1	1	1	0	28	2196	0	1	0
947	1	1	1	0	28	2196	0	1	0
949	1	1	1	0	28	2196	0	1	0
957	1	1	1	0	28	2196	0	1	0
959	1	1	1	0	28	2196	0	1	0
967	1	1	1	0	28	2196	0	1	0
969	1	1	1	0	28	2196	0	1	0
977	1	1	1	0	28	2196	0	1	0
979	1	1	1	0	28	2196	0	1	0
987	1	1	1	0	28	2196	0	1	0
989	1	1	1	0	28	2196	0	1	0
997	1	1	1	0	28	2196	0	1	0
999	1	1	1	0	28	2196	0	1	0
1007	1	1	1	0	28	2196	0	1	0
1009	1	1	1	0	28	2196	0	1	0
1017	1	1	1	0	28	2196	0	1	0
1019	1	1	1	0	28	2196	0	1	0
1027	1	1	1	0	28	2196	0	1	0
1029	1	1	1	0	28	2196	0	1	0
1037	1	1	1	0	28	2196	0	1	0
1039	1	1	1	0	28	2196	0	1	0
1047	1	1	1	0	28	2196	0	1	0
1049	1	1	1	0	28	2196	0	1	0
1057	1	1	1	0	28	2196	0	1	0
1059	1	1	1	0	28	2196	0	1	0
1067	1	1	1	0	28	2196	0	1	0
1069	1	1	1	0	28	2196	0	1	0
1077	1	1	1	0	28	2196	0	1	0
1079	1	1	1	0	28	2196	0	1	0
1087	1	1	1	0	28	2196	0	1	0
1089	1	1	1	0	28	2196	0	1	0
1097	1	1	1	0	28	2196	0	1	0
1099	1	1	1	0	28	2196	0	1	0
1107	1	1	1	0	28	2196	0	1	0
