% time	cellId	IMSI	RNTI	layer	mcs	size	rv	ndi	correct	ccId
36	1	1	1	0	0	85	0	1	1	0
37	1	1	1	0	0	85	0	1	1	0
38	1	1	1	0	0	85	0	1	1	0
39	1	1	1	0	0	85	0	1	1	0
40	1	1	1	0	0	85	0	1	1	0
41	1	1	1	0	0	85	0	1	1	0
42	1	1	1	0	0	85	0	1	1	0
43	1	1	1	0	28	2292	0	1	1	0
46	1	1	1	0	28	2292	0	1	1	0
49	1	1	1	0	28	2292	0	1	1	0
56	1	1	1	0	28	2292	0	1	1	0
66	1	1	1	0	28	2292	0	1	1	0
76	1	1	1	0	28	2292	0	1	1	0
86	1	1	1	0	28	2292	0	1	1	0
96	1	1	1	0	28	2292	0	1	1	0
106	1	1	1	0	28	2292	0	1	1	0
116	1	1	1	0	28	2292	0	1	1	0
126	1	1	1	0	28	2292	0	1	1	0
136	1	1	1	0	28	2292	0	1	1	0
146	1	1	1	0	28	2292	0	1	1	0
156	1	1	1	0	28	2292	0	1	1	0
166	1	1	1	0	28	2292	0	1	1	0
176	1	1	1	0	28	2292	0	1	1	0
186	1	1	1	0	28	2292	0	1	1	0
196	1	1	1	0	28	2292	0	1	1	0
206	1	1	1	0	28	2292	0	1	1	0
216	1	1	1	0	28	2292	0	1	1	0
226	1	1	1	0	28	2292	0	1	1	0
236	1	1	1	0	28	2292	0	1	1	0
246	1	1	1	0	28	2292	0	1	1	0
256	1	1	1	0	28	2292	0	1	1	0
266	1	1	1	0	28	2292	0	1	1	0
276	1	1	1	0	28	2292	0	1	1	0
286	1	1	1	0	28	2292	0	1	1	0
296	1	1	1	0	28	2292	0	1	1	0
308	1	1	1	0	28	2292	0	1	1	0
316	1	1	1	0	28	2292	0	1	1	0
326	1	1	1	0	28	2292	0	1	1	0
336	1	1	1	0	28	2292	0	1	1	0
346	1	1	1	0	28	2292	0	1	1	0
358	1	1	1	0	28	2292	0	1	1	0
368	1	1	1	0	28	2292	0	1	1	0
376	1	1	1	0	28	2292	0	1	1	0
386	1	1	1	0	28	2292	0	1	1	0
396	1	1	1	0	28	2292	0	1	1	0
406	1	1	1	0	28	2292	0	1	1	0
416	1	1	1	0	28	2292	0	1	1	0
426	1	1	1	0	28	2292	0	1	1	0
436	1	1	1	0	28	2292	0	1	1	0
446	1	1	1	0	28	2292	0	1	1	0
456	1	1	1	0	28	2292	0	1	1	0
466	1	1	1	0	28	2292	0	1	1	0
476	1	1	1	0	28	2292	0	1	1	0
486	1	1	1	0	28	2292	0	1	1	0
496	1	1	1	0	28	2292	0	1	1	0
506	1	1	1	0	28	2292	0	1	1	0
516	1	1	1	0	28	2292	0	1	1	0
526	1	1	1	0	28	2292	0	1	1	0
536	1	1	1	0	28	2292	0	1	1	0
546	1	1	1	0	28	2292	0	1	1	0
556	1	1	1	0	28	2292	0	1	1	0
566	1	1	1	0	28	2292	0	1	1	0
576	1	1	1	0	28	2292	0	1	1	0
586	1	1	1	0	28	2292	0	1	1	0
596	1	1	1	0	28	2292	0	1	1	0
606	1	1	1	0	28	2292	0	1	1	0
616	1	1	1	0	28	2292	0	1	1	0
626	1	1	1	0	28	2292	0	1	1	0
636	1	1	1	0	28	2292	0	1	1	0
646	1	1	1	0	28	2292	0	1	1	0
656	1	1	1	0	28	2292	0	1	1	0
666	1	1	1	0	28	2292	0	1	1	0
676	1	1	1	0	28	2292	0	1	1	0
686	1	1	1	0	28	2292	0	1	1	0
696	1	1	1	0	28	2292	0	1	1	0
706	1	1	1	0	28	2292	0	1	1	0
716	1	1	1	0	28	2292	0	1	1	0
726	1	1	1	0	28	2292	0	1	1	0
736	1	1	1	0	28	2292	0	1	1	0
746	1	1	1	0	28	2292	0	1	1	0
756	1	1	1	0	28	2292	0	1	1	0
766	1	1	1	0	28	2292	0	1	1	0
776	1	1	1	0	28	2292	0	1	1	0
786	1	1	1	0	28	2292	0	1	1	0
796	1	1	1	0	28	2292	0	1	1	0
806	1	1	1	0	28	2292	0	1	1	0
816	1	1	1	0	28	2292	0	1	1	0
826	1	1	1	0	28	2292	0	1	1	0
836	1	1	1	0	28	2292	0	1	1	0
846	1	1	1	0	28	2292	0	1	1	0
856	1	1	1	0	28	2292	0	1	1	0
