% time	cellId	IMSI	RNTI	sinrLinear	componentCarrierId
0.041	1	1	1	1080.25	0
0.081	1	1	1	1084.16	0
0.121	1	1	1	1088.09	0
0.161	1	1	1	1092.04	0
0.201	1	1	1	1096.01	0
0.241	1	1	1	1100	0
0.281	1	1	1	1104.01	0
0.321	1	1	1	1108.05	0
0.361	1	1	1	1112.11	0
0.401	1	1	1	1116.19	0
0.441	1	1	1	1120.29	0
0.481	1	1	1	1124.41	0
0.521	1	1	1	1128.56	0
0.561	1	1	1	1132.73	0
0.601	1	1	1	1136.93	0
0.641	1	1	1	1141.14	0
0.681	1	1	1	1145.38	0
0.721	1	1	1	1149.65	0
0.761	1	1	1	1153.93	0
0.801	1	1	1	1158.25	0
0.841	1	1	1	1162.58	0
0.881	1	1	1	1166.94	0
0.921	1	1	1	1171.33	0
0.961	1	1	1	1175.73	0
1.001	1	1	1	1180.17	0
1.041	1	1	1	1184.63	0
1.081	1	1	1	1189.11	0
1.121	1	1	1	1193.62	0
1.161	1	1	1	1198.16	0
1.201	1	1	1	1202.72	0
1.241	1	1	1	1207.3	0
1.281	1	1	1	1211.92	0
1.321	1	1	1	1216.56	0
1.361	1	1	1	1221.22	0
1.401	1	1	1	1225.91	0
1.441	1	1	1	1230.63	0
1.481	1	1	1	1235.38	0
1.521	1	1	1	1240.15	0
1.561	1	1	1	1244.96	0
1.601	1	1	1	1249.79	0
1.641	1	1	1	1254.64	0
1.681	1	1	1	1259.53	0
1.721	1	1	1	1264.44	0
1.761	1	1	1	1269.39	0
1.801	1	1	1	1274.36	0
1.841	1	1	1	1279.36	0
1.881	1	1	1	1284.39	0
1.921	1	1	1	1289.45	0
1.961	1	1	1	1294.54	0
2.001	1	1	1	1299.66	0
2.041	1	1	1	1304.81	0
2.081	1	1	1	1309.99	0
2.121	1	1	1	1315.2	0
2.161	1	1	1	1320.44	0
2.201	1	1	1	1325.72	0
2.241	1	1	1	1331.02	0
2.281	1	1	1	1336.36	0
2.321	1	1	1	1341.73	0
2.361	1	1	1	1347.13	0
2.401	1	1	1	1352.56	0
2.441	1	1	1	1358.03	0
2.481	1	1	1	1363.53	0
2.521	1	1	1	1369.06	0
2.561	1	1	1	1374.63	0
2.601	1	1	1	1380.23	0
2.641	1	1	1	1385.86	0
2.681	1	1	1	1391.53	0
2.721	1	1	1	1397.23	0
2.761	1	1	1	1402.97	0
2.801	1	1	1	1408.74	0
2.841	1	1	1	1414.55	0
2.881	1	1	1	1420.4	0
2.921	1	1	1	1426.28	0
2.961	1	1	1	1432.19	0
3.001	1	1	1	1438.15	0
3.041	1	1	1	1444.14	0
3.081	1	1	1	1450.17	0
3.121	1	1	1	1456.23	0
3.161	1	1	1	1462.34	0
3.201	1	1	1	1468.48	0
3.241	1	1	1	1474.66	0
3.281	1	1	1	1480.88	0
3.321	1	1	1	1487.14	0
3.361	1	1	1	1493.44	0
3.401	1	1	1	1499.77	0
3.441	1	1	1	1506.15	0
3.481	1	1	1	1512.57	0
3.521	1	1	1	1519.03	0
3.561	1	1	1	1525.53	0
3.601	1	1	1	1532.07	0
3.641	1	1	1	1538.66	0
3.681	1	1	1	1545.28	0
3.721	1	1	1	1551.95	0
3.761	1	1	1	1558.67	0
3.801	1	1	1	1565.42	0
3.841	1	1	1	1572.22	0
3.881	1	1	1	1579.06	0
3.921	1	1	1	1585.95	0
3.961	1	1	1	1592.88	0
4.001	1	1	1	1599.86	0
4.041	1	1	1	1606.89	0
4.081	1	1	1	1613.96	0
4.121	1	1	1	1621.07	0
4.161	1	1	1	1628.24	0
4.201	1	1	1	1635.45	0
4.241	1	1	1	1642.7	0
4.281	1	1	1	1650.01	0
4.321	1	1	1	1657.37	0
4.361	1	1	1	1664.77	0
4.401	1	1	1	1672.22	0
4.441	1	1	1	1679.73	0
4.481	1	1	1	1687.28	0
4.521	1	1	1	1694.88	0
4.561	1	1	1	1702.54	0
4.601	1	1	1	1710.25	0
4.641	1	1	1	1718	0
4.681	1	1	1	1725.82	0
4.721	1	1	1	1733.68	0
4.761	1	1	1	1741.6	0
4.801	1	1	1	1749.57	0
4.841	1	1	1	1757.6	0
4.881	1	1	1	1765.68	0
4.921	1	1	1	1773.82	0
4.961	1	1	1	1782.01	0
5.001	1	1	1	1790.26	0
5.041	1	1	1	1798.57	0
5.081	1	1	1	1806.93	0
5.121	1	1	1	1815.35	0
5.161	1	1	1	1823.83	0
5.201	1	1	1	1832.37	0
5.241	1	1	1	1840.97	0
5.281	1	1	1	1849.63	0
5.321	1	1	1	1858.35	0
5.361	1	1	1	1867.14	0
5.401	1	1	1	1875.98	0
5.441	1	1	1	1884.89	0
5.481	1	1	1	1893.86	0
5.521	1	1	1	1902.89	0
5.561	1	1	1	1911.99	0
5.601	1	1	1	1921.15	0
5.641	1	1	1	1930.38	0
5.681	1	1	1	1939.67	0
5.721	1	1	1	1949.03	0
5.761	1	1	1	1958.46	0
5.801	1	1	1	1967.96	0
5.841	1	1	1	1977.53	0
5.881	1	1	1	1987.16	0
5.921	1	1	1	1996.86	0
5.961	1	1	1	2006.64	0
6.001	1	1	1	2016.49	0
6.041	1	1	1	2026.41	0
6.081	1	1	1	2036.4	0
6.121	1	1	1	2046.46	0
6.161	1	1	1	2056.6	0
6.201	1	1	1	2066.82	0
6.241	1	1	1	2077.11	0
6.281	1	1	1	2087.47	0
6.321	1	1	1	2097.92	0
6.361	1	1	1	2108.44	0
6.401	1	1	1	2119.04	0
6.441	1	1	1	2129.72	0
6.481	1	1	1	2140.48	0
6.521	1	1	1	2151.32	0
6.561	1	1	1	2162.24	0
6.601	1	1	1	2173.25	0
6.641	1	1	1	2184.34	0
