% time	cellId	IMSI	RNTI	rsrp	sinr	ComponentCarrierId
0.000214285	1	1	0	3.36092e-11	70854.5	0
0.000214285	1	2	0	3.36092e-11	70854.5	0
0.00121429	1	1	0	3.36106e-11	70857.3	0
0.00121429	1	2	0	3.36092e-11	70854.5	0
0.00221428	1	1	0	3.36119e-11	70860.2	0
0.00221428	1	2	0	3.36092e-11	70854.5	0
0.00321428	1	1	0	3.36133e-11	70863	0
0.00321428	1	2	0	3.36092e-11	70854.5	0
0.00421428	1	1	0	3.36146e-11	70865.8	0
0.00421428	1	2	0	3.36092e-11	70854.5	0
0.00521428	1	1	0	3.3616e-11	70868.7	0
0.00521428	1	2	0	3.36092e-11	70854.5	0
0.00621428	1	1	0	3.36173e-11	70871.5	0
0.00621428	1	2	0	3.36092e-11	70854.5	0
0.00721428	1	1	0	3.36187e-11	70874.3	0
0.00721428	1	2	0	3.36092e-11	70854.5	0
0.00821428	1	1	0	3.362e-11	70877.2	0
0.00821428	1	2	0	3.36092e-11	70854.5	0
0.00921428	1	1	0	3.36213e-11	70880	0
0.00921428	1	2	0	3.36092e-11	70854.5	0
0.0102143	1	1	0	3.36227e-11	70882.8	0
0.0102143	1	2	0	3.36092e-11	70854.5	0
0.0112143	1	1	0	3.3624e-11	70885.7	0
0.0112143	1	2	0	3.36092e-11	70854.5	0
0.0122143	1	1	0	3.36254e-11	70888.5	0
0.0122143	1	2	0	3.36092e-11	70854.5	0
0.0132143	1	1	0	3.36267e-11	70891.4	0
0.0132143	1	2	0	3.36092e-11	70854.5	0
0.0142143	1	1	0	3.36281e-11	70894.2	0
0.0142143	1	2	0	3.36092e-11	70854.5	0
0.0152143	1	1	0	3.36294e-11	70897	0
0.0152143	1	2	0	3.36092e-11	70854.5	0
0.0162143	1	1	0	3.36308e-11	70899.9	0
0.0162143	1	2	0	3.36092e-11	70854.5	0
0.0172143	1	1	0	3.36321e-11	70902.7	0
0.0172143	1	2	0	3.36092e-11	70854.5	0
0.0182143	1	1	0	3.36334e-11	70905.5	0
0.0182143	1	2	0	3.36092e-11	70854.5	0
0.0192143	1	1	0	3.36348e-11	70908.4	0
0.0192143	1	2	0	3.36092e-11	70854.5	0
0.0202143	1	1	0	3.36361e-11	70911.2	0
0.0202143	1	2	0	3.36092e-11	70854.5	0
0.0212143	1	1	2	3.36375e-11	70914	0
0.0212143	1	2	1	3.36092e-11	70854.5	0
0.0222143	1	1	2	3.36388e-11	70916.9	0
0.0222143	1	2	1	3.36092e-11	70854.5	0
0.0232143	1	1	2	3.36402e-11	70919.7	0
0.0232143	1	2	1	3.36092e-11	70854.5	0
0.0242143	1	1	2	3.36415e-11	70922.6	0
0.0242143	1	2	1	3.36092e-11	70854.5	0
0.0252143	1	1	2	3.36429e-11	70925.4	0
0.0252143	1	2	1	3.36092e-11	70854.5	0
0.0262143	1	1	2	3.36442e-11	70928.2	0
0.0262143	1	2	1	3.36092e-11	70854.5	0
0.0272143	1	1	2	3.36456e-11	70931.1	0
0.0272143	1	2	1	3.36092e-11	70854.5	0
0.0282143	1	1	2	3.36469e-11	70933.9	0
0.0282143	1	2	1	3.36092e-11	70854.5	0
0.0292143	1	1	2	3.36482e-11	70936.7	0
0.0292143	1	2	1	3.36092e-11	70854.5	0
0.0302143	1	1	2	3.36496e-11	70939.6	0
0.0302143	1	2	1	3.36092e-11	70854.5	0
0.0312143	1	1	2	3.36509e-11	70942.4	0
0.0312143	1	2	1	3.36092e-11	70854.5	0
0.0322143	1	1	2	3.36523e-11	70945.3	0
0.0322143	1	2	1	3.36092e-11	70854.5	0
0.0332143	1	1	2	3.36536e-11	70948.1	0
0.0332143	1	2	1	3.36092e-11	70854.5	0
0.0342143	1	1	2	3.3655e-11	70950.9	0
0.0342143	1	2	1	3.36092e-11	70854.5	0
0.0352143	1	1	2	3.36563e-11	70953.8	0
0.0352143	1	2	1	3.36092e-11	70854.5	0
0.0362143	1	1	2	3.36577e-11	70956.6	0
0.0362143	1	2	1	3.36092e-11	70854.5	0
0.0372143	1	1	2	3.3659e-11	70959.4	0
0.0372143	1	2	1	3.36092e-11	70854.5	0
0.0382143	1	1	2	3.36604e-11	70962.3	0
0.0382143	1	2	1	3.36092e-11	70854.5	0
0.0392143	1	1	2	3.36617e-11	70965.1	0
0.0392143	1	2	1	3.36092e-11	70854.5	0
0.0402143	1	1	2	3.36631e-11	70968	0
0.0402143	1	2	1	3.36092e-11	70854.5	0
0.0412143	1	1	2	3.36644e-11	70970.8	0
0.0412143	1	2	1	3.36092e-11	70854.5	0
0.0422143	1	1	2	3.36658e-11	70973.6	0
0.0422143	1	2	1	3.36092e-11	70854.5	0
0.0432143	1	1	2	3.36671e-11	70976.5	0
0.0432143	1	2	1	3.36092e-11	70854.5	0
0.0442143	1	1	2	3.36684e-11	70979.3	0
0.0442143	1	2	1	3.36092e-11	70854.5	0
0.0452143	1	1	2	3.36698e-11	70982.2	0
0.0452143	1	2	1	3.36092e-11	70854.5	0
0.0462143	1	1	2	3.36711e-11	70985	0
0.0462143	1	2	1	3.36092e-11	70854.5	0
0.0472143	1	1	2	3.36725e-11	70987.8	0
0.0472143	1	2	1	3.36092e-11	70854.5	0
0.0482143	1	1	2	3.36738e-11	70990.7	0
0.0482143	1	2	1	3.36092e-11	70854.5	0
0.0492143	1	1	2	3.36752e-11	70993.5	0
0.0492143	1	2	1	3.36092e-11	70854.5	0
0.0502143	1	1	2	3.36765e-11	70996.4	0
0.0502143	1	2	1	3.36092e-11	70854.5	0
0.0512143	1	1	2	3.36779e-11	70999.2	0
0.0512143	1	2	1	3.36092e-11	70854.5	0
0.0522143	1	1	2	3.36792e-11	71002	0
0.0522143	1	2	1	3.36092e-11	70854.5	0
0.0532143	1	1	2	3.36806e-11	71004.9	0
0.0532143	1	2	1	3.36092e-11	70854.5	0
0.0542143	1	1	2	3.36819e-11	71007.7	0
0.0542143	1	2	1	3.36092e-11	70854.5	0
0.0552143	1	1	2	3.36833e-11	71010.6	0
0.0552143	1	2	1	3.36092e-11	70854.5	0
0.0562143	1	1	2	3.36846e-11	71013.4	0
0.0562143	1	2	1	3.36092e-11	70854.5	0
0.0572143	1	1	2	3.3686e-11	71016.2	0
0.0572143	1	2	1	3.36092e-11	70854.5	0
0.0582143	1	1	2	3.36873e-11	71019.1	0
0.0582143	1	2	1	3.36092e-11	70854.5	0
0.0592143	1	1	2	3.36887e-11	71021.9	0
0.0592143	1	2	1	3.36092e-11	70854.5	0
0.0602143	1	1	2	3.369e-11	71024.8	0
0.0602143	1	2	1	3.36092e-11	70854.5	0
0.0612143	1	1	2	3.36913e-11	71027.6	0
0.0612143	1	2	1	3.36092e-11	70854.5	0
0.0622143	1	1	2	3.36927e-11	71030.4	0
0.0622143	1	2	1	3.36092e-11	70854.5	0
