% time	cellId	IMSI	RNTI	txMode	layer	mcs	size	rv	ndi	correct	ccId
23	1	1	1	0	0	0	81	0	1	1	0
24	1	1	1	0	0	0	81	0	1	1	0
25	1	1	1	0	0	0	81	0	1	1	0
26	1	1	1	0	0	0	81	0	1	1	0
27	1	1	1	0	0	0	81	0	1	1	0
28	1	1	1	0	0	28	2196	0	1	1	0
29	1	1	1	0	0	28	2196	0	1	1	0
32	1	1	1	0	0	28	2196	0	1	1	0
33	1	1	1	0	0	28	2196	0	1	1	0
39	1	1	1	0	0	28	2196	0	1	1	0
42	1	1	1	0	0	28	2196	0	1	1	0
43	1	1	1	0	0	28	2196	0	1	1	0
49	1	1	1	0	0	28	2196	0	1	1	0
52	1	1	1	0	0	28	2196	0	1	1	0
53	1	1	1	0	0	28	2196	0	1	1	0
59	1	1	1	0	0	28	2196	0	1	1	0
62	1	1	1	0	0	28	2196	0	1	1	0
63	1	1	1	0	0	28	2196	0	1	1	0
69	1	1	1	0	0	28	2196	0	1	1	0
72	1	1	1	0	0	28	2196	0	1	1	0
73	1	1	1	0	0	28	2196	0	1	1	0
79	1	1	1	0	0	28	2196	0	1	1	0
82	1	1	1	0	0	28	2196	0	1	1	0
83	1	1	1	0	0	28	2196	0	1	1	0
89	1	1	1	0	0	28	2196	0	1	1	0
92	1	1	1	0	0	28	2196	0	1	1	0
93	1	1	1	0	0	28	2196	0	1	1	0
99	1	1	1	0	0	28	2196	0	1	1	0
102	1	1	1	0	0	28	2196	0	1	1	0
103	1	1	1	0	0	28	2196	0	1	1	0
109	1	1	1	0	0	28	2196	0	1	1	0
112	1	1	1	0	0	28	2196	0	1	1	0
113	1	1	1	0	0	28	2196	0	1	1	0
119	1	1	1	0	0	28	2196	0	1	1	0
122	1	1	1	0	0	28	2196	0	1	1	0
123	1	1	1	0	0	28	2196	0	1	1	0
129	1	1	1	0	0	28	2196	0	1	1	0
132	1	1	1	0	0	28	2196	0	1	1	0
133	1	1	1	0	0	28	2196	0	1	1	0
139	1	1	1	0	0	28	2196	0	1	1	0
142	1	1	1	0	0	28	2196	0	1	1	0
143	1	1	1	0	0	28	2196	0	1	1	0
149	1	1	1	0	0	28	2196	0	1	1	0
152	1	1	1	0	0	28	2196	0	1	1	0
153	1	1	1	0	0	28	2196	0	1	1	0
159	1	1	1	0	0	28	2196	0	1	1	0
162	1	1	1	0	0	28	2196	0	1	1	0
163	1	1	1	0	0	28	2196	0	1	1	0
169	1	1	1	0	0	28	2196	0	1	1	0
172	1	1	1	0	0	28	2196	0	1	1	0
173	1	1	1	0	0	28	2196	0	1	1	0
179	1	1	1	0	0	28	2196	0	1	1	0
182	1	1	1	0	0	28	2196	0	1	1	0
183	1	1	1	0	0	28	2196	0	1	1	0
189	1	1	1	0	0	28	2196	0	1	1	0
192	1	1	1	0	0	28	2196	0	1	1	0
193	1	1	1	0	0	28	2196	0	1	1	0
199	1	1	1	0	0	28	2196	0	1	1	0
202	1	1	1	0	0	28	2196	0	1	1	0
203	1	1	1	0	0	28	2196	0	1	1	0
209	1	1	1	0	0	28	2196	0	1	1	0
212	1	1	1	0	0	28	2196	0	1	1	0
213	1	1	1	0	0	28	2196	0	1	1	0
219	1	1	1	0	0	28	2196	0	1	1	0
222	1	1	1	0	0	28	2196	0	1	1	0
223	1	1	1	0	0	28	2196	0	1	1	0
229	1	1	1	0	0	28	2196	0	1	1	0
232	1	1	1	0	0	28	2196	0	1	1	0
233	1	1	1	0	0	28	2196	0	1	1	0
239	1	1	1	0	0	28	2196	0	1	1	0
242	1	1	1	0	0	28	2196	0	1	1	0
243	1	1	1	0	0	28	2196	0	1	1	0
249	1	1	1	0	0	28	2196	0	1	1	0
252	1	1	1	0	0	28	2196	0	1	1	0
253	1	1	1	0	0	28	2196	0	1	1	0
259	1	1	1	0	0	28	2196	0	1	1	0
262	1	1	1	0	0	28	2196	0	1	1	0
263	1	1	1	0	0	28	2196	0	1	1	0
269	1	1	1	0	0	28	2196	0	1	1	0
272	1	1	1	0	0	28	2196	0	1	1	0
273	1	1	1	0	0	28	2196	0	1	1	0
274	1	2	3	0	0	28	2196	0	1	1	0
279	1	1	1	0	0	28	2196	0	1	1	0
282	1	1	1	0	0	28	2196	0	1	1	0
283	1	1	1	0	0	28	2196	0	1	1	0
289	1	1	1	0	0	28	2196	0	1	1	0
292	1	1	1	0	0	28	2196	0	1	1	0
293	1	1	1	0	0	28	2196	0	1	1	0
299	1	1	1	0	0	28	2196	0	1	1	0
302	1	1	1	0	0	28	2196	0	1	1	0
303	1	1	1	0	0	28	2196	0	1	1	0
309	1	1	1	0	0	28	2196	0	1	1	0
312	1	1	1	0	0	28	2196	0	1	1	0
313	1	1	1	0	0	28	2196	0	1	1	0
319	1	1	1	0	0	28	2196	0	1	1	0
322	1	1	1	0	0	28	2196	0	1	1	0
323	1	1	1	0	0	28	2196	0	1	1	0
329	1	1	1	0	0	28	2196	0	1	1	0
333	1	1	1	0	0	28	2196	0	1	1	0
339	1	1	1	0	0	28	2196	0	1	1	0
342	1	1	1	0	0	28	2196	0	1	1	0
343	1	1	1	0	0	28	2196	0	1	1	0
349	1	1	1	0	0	28	2196	0	1	1	0
352	1	1	1	0	0	28	2196	0	1	1	0
353	1	1	1	0	0	28	2196	0	1	1	0
355	1	2	3	0	0	28	2196	0	1	1	0
359	1	1	1	0	0	28	2196	0	1	1	0
362	1	1	1	0	0	28	2196	0	1	1	0
363	1	1	1	0	0	28	2196	0	1	1	0
369	1	1	1	0	0	28	2196	0	1	1	0
372	1	1	1	0	0	28	2196	0	1	1	0
373	1	1	1	0	0	28	2196	0	1	1	0
379	1	1	1	0	0	28	2196	0	1	1	0
382	1	1	1	0	0	28	2196	0	1	1	0
383	1	1	1	0	0	28	2196	0	1	1	0
385	1	2	3	0	0	28	2196	0	1	1	0
389	1	1	1	0	0	28	2196	0	1	1	0
392	1	1	1	0	0	28	2196	0	1	1	0
393	1	1	1	0	0	28	2196	0	1	1	0
399	1	1	1	0	0	28	2196	0	1	1	0
402	1	1	1	0	0	28	2196	0	1	1	0
403	1	1	1	0	0	28	2196	0	1	1	0
409	1	1	1	0	0	28	2196	0	1	1	0
412	1	1	1	0	0	28	2196	0	1	1	0
413	1	1	1	0	0	28	2196	0	1	1	0
419	1	1	1	0	0	28	2196	0	1	1	0
422	1	1	1	0	0	28	2196	0	1	1	0
423	1	1	1	0	0	28	2196	0	1	1	0
429	1	1	1	0	0	28	2196	0	1	1	0
432	1	1	1	0	0	28	2196	0	1	1	0
433	1	1	1	0	0	28	2196	0	1	1	0
435	1	2	3	0	0	28	2196	0	1	1	0
439	1	1	1	0	0	28	2196	0	1	1	0
442	1	1	1	0	0	28	2196	0	1	1	0
443	1	1	1	0	0	28	2196	0	1	1	0
444	3	2	1	0	0	0	81	0	1	1	0
445	3	2	1	0	0	0	81	0	1	1	0
446	3	2	1	0	0	0	81	0	1	1	0
447	3	2	1	0	0	0	81	0	1	1	0
448	3	2	1	0	0	28	2196	0	1	1	0
449	1	1	1	0	0	28	2196	0	1	0	0
449	3	2	1	0	0	28	2196	0	1	0	0
452	1	1	1	0	0	28	2196	0	1	1	0
453	1	1	1	0	0	28	2196	0	1	1	0
454	3	2	1	0	0	28	2196	0	1	1	0
455	3	2	1	0	0	28	2196	0	1	1	0
456	1	1	1	0	0	28	2196	1	0	0	0
456	3	2	1	0	0	28	2196	1	0	0	0
459	1	1	1	0	0	28	2196	0	1	1	0
462	1	1	1	0	0	28	2196	0	1	1	0
463	1	1	1	0	0	28	2196	2	0	1	0
463	3	2	1	0	0	28	2196	2	0	1	0
464	1	1	1	0	0	12	597	0	1	1	0
464	3	2	1	0	0	14	775	0	1	1	0
465	1	1	1	0	0	12	597	0	1	1	0
465	3	2	1	0	0	14	775	0	1	1	0
466	3	2	1	0	0	28	2196	0	1	1	0
467	3	2	1	0	0	28	2196	0	1	1	0
469	1	1	1	0	0	28	2196	0	1	1	0
472	1	1	1	0	0	12	597	0	1	1	0
473	1	1	1	0	0	12	597	0	1	1	0
474	1	1	1	0	0	28	2196	0	1	0	0
474	3	2	1	0	0	28	2196	0	1	0	0
475	3	2	1	0	0	28	2196	0	1	1	0
479	1	1	1	0	0	28	2196	0	1	1	0
481	1	1	1	0	0	28	2196	1	0	0	0
481	3	2	1	0	0	28	2196	1	0	0	0
482	1	1	1	0	0	12	597	0	1	1	0
483	1	1	1	0	0	12	597	0	1	1	0
484	1	1	1	0	0	28	2196	0	1	0	0
484	3	2	1	0	0	28	2196	0	1	0	0
485	3	2	1	0	0	28	2196	0	1	1	0
488	1	1	1	0	0	28	2196	2	0	1	0
488	3	2	1	0	0	28	2196	2	0	1	0
489	1	1	1	0	0	28	2196	0	1	1	0
491	1	1	1	0	0	28	2196	1	0	0	0
491	3	2	1	0	0	28	2196	1	0	0	0
492	1	1	1	0	0	12	597	0	1	1	0
493	1	1	1	0	0	12	597	0	1	1	0
494	1	1	1	0	0	28	2196	0	1	0	0
494	3	2	1	0	0	28	2196	0	1	0	0
495	3	2	1	0	0	28	2196	0	1	1	0
498	1	1	1	0	0	28	2196	2	0	1	0
498	3	2	1	0	0	28	2196	2	0	1	0
499	1	1	1	0	0	28	2196	0	1	1	0
501	1	1	1	0	0	28	2196	1	0	0	0
501	3	2	1	0	0	28	2196	1	0	0	0
502	1	1	1	0	0	12	597	0	1	1	0
503	1	1	1	0	0	12	597	0	1	1	0
504	1	1	1	0	0	28	2196	0	1	0	0
504	3	2	1	0	0	28	2196	0	1	0	0
505	3	2	1	0	0	28	2196	0	1	1	0
508	1	1	1	0	0	28	2196	2	0	1	0
508	3	2	1	0	0	28	2196	2	0	1	0
509	1	1	1	0	0	28	2196	0	1	1	0
511	1	1	1	0	0	28	2196	1	0	0	0
511	3	2	1	0	0	28	2196	1	0	0	0
512	1	1	1	0	0	12	597	0	1	1	0
513	1	1	1	0	0	12	597	0	1	1	0
514	1	1	1	0	0	28	2196	0	1	0	0
514	3	2	1	0	0	28	2196	0	1	0	0
515	3	2	1	0	0	28	2196	0	1	1	0
518	1	1	1	0	0	28	2196	2	0	1	0
518	3	2	1	0	0	28	2196	2	0	1	0
519	1	1	1	0	0	28	2196	0	1	1	0
521	1	1	1	0	0	28	2196	1	0	0	0
521	3	2	1	0	0	28	2196	1	0	0	0
522	1	1	1	0	0	12	597	0	1	1	0
523	1	1	1	0	0	12	597	0	1	1	0
524	1	1	1	0	0	28	2196	0	1	0	0
524	3	2	1	0	0	28	2196	0	1	0	0
525	3	2	1	0	0	28	2196	0	1	1	0
528	1	1	1	0	0	28	2196	2	0	1	0
528	3	2	1	0	0	28	2196	2	0	1	0
529	1	1	1	0	0	28	2196	0	1	1	0
531	1	1	1	0	0	28	2196	1	0	0	0
531	3	2	1	0	0	28	2196	1	0	0	0
532	1	1	1	0	0	12	597	0	1	1	0
533	1	1	1	0	0	12	597	0	1	1	0
534	1	1	1	0	0	28	2196	0	1	0	0
534	3	2	1	0	0	28	2196	0	1	0	0
535	3	2	1	0	0	28	2196	0	1	1	0
538	1	1	1	0	0	28	2196	2	0	1	0
538	3	2	1	0	0	28	2196	2	0	1	0
539	1	1	1	0	0	28	2196	0	1	1	0
541	1	1	1	0	0	28	2196	1	0	0	0
541	3	2	1	0	0	28	2196	1	0	0	0
542	1	1	1	0	0	12	597	0	1	1	0
543	1	1	1	0	0	12	597	0	1	1	0
544	1	1	1	0	0	28	2196	0	1	0	0
544	3	2	1	0	0	28	2196	0	1	0	0
545	3	2	1	0	0	28	2196	0	1	1	0
548	1	1	1	0	0	28	2196	2	0	1	0
548	3	2	1	0	0	28	2196	2	0	1	0
549	1	1	1	0	0	28	2196	0	1	1	0
551	1	1	1	0	0	28	2196	1	0	0	0
551	3	2	1	0	0	28	2196	1	0	0	0
552	1	1	1	0	0	12	597	0	1	1	0
553	1	1	1	0	0	12	597	0	1	1	0
554	1	1	1	0	0	28	2196	0	1	0	0
554	3	2	1	0	0	28	2196	0	1	0	0
555	3	2	1	0	0	28	2196	0	1	1	0
558	1	1	1	0	0	28	2196	2	0	1	0
558	3	2	1	0	0	28	2196	2	0	1	0
559	1	1	1	0	0	28	2196	0	1	1	0
561	1	1	1	0	0	28	2196	1	0	0	0
561	3	2	1	0	0	28	2196	1	0	0	0
562	1	1	1	0	0	12	597	0	1	1	0
563	1	1	1	0	0	12	597	0	1	1	0
564	1	1	1	0	0	28	2196	0	1	0	0
564	3	2	1	0	0	28	2196	0	1	0	0
565	3	2	1	0	0	28	2196	0	1	1	0
568	1	1	1	0	0	28	2196	2	0	1	0
568	3	2	1	0	0	28	2196	2	0	1	0
569	1	1	1	0	0	28	2196	0	1	1	0
571	1	1	1	0	0	28	2196	1	0	0	0
571	3	2	1	0	0	28	2196	1	0	0	0
572	1	1	1	0	0	12	597	0	1	1	0
573	1	1	1	0	0	12	597	0	1	1	0
574	1	1	1	0	0	28	2196	0	1	0	0
574	3	2	1	0	0	28	2196	0	1	0	0
575	3	2	1	0	0	28	2196	0	1	1	0
578	1	1	1	0	0	28	2196	2	0	1	0
578	3	2	1	0	0	28	2196	2	0	1	0
579	1	1	1	0	0	28	2196	0	1	1	0
581	1	1	1	0	0	28	2196	1	0	0	0
581	3	2	1	0	0	28	2196	1	0	0	0
582	1	1	1	0	0	12	597	0	1	1	0
583	1	1	1	0	0	12	597	0	1	1	0
584	1	1	1	0	0	28	2196	0	1	0	0
584	3	2	1	0	0	28	2196	0	1	0	0
585	3	2	1	0	0	28	2196	0	1	1	0
