% time	cellId	IMSI	frame	sframe	RNTI	mcs	size	ccId
0.026	1	1	3	7	1	0	85	0
0.027	1	1	3	8	1	0	85	0
0.028	1	1	3	9	1	0	85	0
0.029	1	1	3	10	1	0	85	0
0.03	1	1	4	1	1	0	85	0
0.031	1	1	4	2	1	0	85	0
0.032	1	1	4	3	1	0	85	0
0.033	1	1	4	4	1	28	2292	0
0.035	1	1	4	6	1	28	2292	0
0.036	1	1	4	7	1	28	2292	0
0.037	1	1	4	8	1	28	2292	0
0.042	1	1	5	3	1	28	2292	0
0.043	1	1	5	4	1	28	2292	0
0.045	1	1	5	6	1	28	2292	0
0.046	1	1	5	7	1	28	2292	0
0.052	1	1	6	3	1	28	2292	0
0.055	1	1	6	6	1	28	2292	0
0.056	1	1	6	7	1	28	2292	0
0.062	1	1	7	3	1	28	2292	0
0.065	1	1	7	6	1	28	2292	0
0.066	1	1	7	7	1	28	2292	0
0.072	1	1	8	3	1	28	2292	0
0.075	1	1	8	6	1	28	2292	0
0.076	1	1	8	7	1	28	2292	0
0.082	1	1	9	3	1	28	2292	0
0.085	1	1	9	6	1	28	2292	0
0.086	1	1	9	7	1	28	2292	0
0.092	1	1	10	3	1	28	2292	0
0.095	1	1	10	6	1	28	2292	0
0.096	1	1	10	7	1	28	2292	0
0.102	1	1	11	3	1	28	2292	0
0.105	1	1	11	6	1	28	2292	0
0.106	1	1	11	7	1	28	2292	0
0.112	1	1	12	3	1	28	2292	0
0.115	1	1	12	6	1	28	2292	0
0.116	1	1	12	7	1	28	2292	0
0.117	1	2	12	8	3	0	85	0
0.118	1	2	12	9	3	0	85	0
0.119	1	2	12	10	3	0	85	0
0.12	1	2	13	1	3	0	85	0
0.121	1	2	13	2	3	0	85	0
0.122	1	1	13	3	1	28	1095	0
0.122	1	2	13	3	3	0	41	0
0.123	1	1	13	4	1	28	1095	0
0.123	1	2	13	4	3	28	1095	0
0.124	1	2	13	5	3	28	2292	0
0.125	1	1	13	6	1	28	2292	0
0.126	1	1	13	7	1	28	2292	0
0.127	1	2	13	8	3	28	2292	0
0.128	1	2	13	9	3	28	2292	0
0.132	1	1	14	3	1	28	1095	0
0.133	1	1	14	4	1	28	1095	0
0.135	1	1	14	6	1	28	1095	0
0.136	1	1	14	7	1	28	1095	0
0.137	1	1	14	8	1	28	1095	0
0.142	1	1	15	3	1	28	1095	0
0.143	1	1	15	4	1	28	1095	0
0.145	1	1	15	6	1	28	1095	0
0.146	1	1	15	7	1	28	1095	0
0.147	1	1	15	8	1	28	1095	0
0.152	1	1	16	3	1	28	1095	0
0.153	1	1	16	4	1	28	1095	0
0.155	1	1	16	6	1	28	1095	0
0.156	1	1	16	7	1	28	1095	0
0.157	1	1	16	8	1	28	1095	0
0.162	1	1	17	3	1	28	1095	0
0.163	1	1	17	4	1	28	1095	0
0.163	1	2	17	4	3	28	1095	0
0.164	1	2	17	5	3	28	2292	0
0.165	1	1	17	6	1	28	1095	0
0.165	1	2	17	6	3	28	1095	0
0.166	1	1	17	7	1	28	1095	0
0.166	1	2	17	7	3	28	1095	0
0.167	1	1	17	8	1	28	1095	0
0.167	1	2	17	8	3	28	1095	0
0.168	1	2	17	9	3	28	2292	0
0.169	1	2	17	10	3	28	2292	0
0.172	1	1	18	3	1	28	1095	0
0.173	1	1	18	4	1	28	1095	0
0.175	1	1	18	6	1	28	1095	0
0.176	1	1	18	7	1	28	1095	0
0.177	1	1	18	8	1	28	1095	0
0.182	1	1	19	3	1	28	1095	0
0.183	1	1	19	4	1	28	1095	0
0.185	1	1	19	6	1	28	1095	0
0.186	1	1	19	7	1	28	1095	0
0.187	1	1	19	8	1	28	1095	0
0.192	1	1	20	3	1	28	1095	0
0.193	1	1	20	4	1	28	1095	0
0.195	1	1	20	6	1	28	1095	0
0.196	1	1	20	7	1	28	1095	0
0.197	1	1	20	8	1	28	1095	0
0.202	1	1	21	3	1	28	1095	0
0.203	1	1	21	4	1	28	1095	0
0.203	1	2	21	4	3	28	1095	0
0.204	1	2	21	5	3	28	2292	0
0.205	1	1	21	6	1	28	1095	0
0.205	1	2	21	6	3	28	1095	0
0.206	1	1	21	7	1	28	1095	0
0.206	1	2	21	7	3	28	1095	0
0.207	1	1	21	8	1	28	1095	0
0.207	1	2	21	8	3	28	1095	0
0.208	1	2	21	9	3	28	2292	0
0.209	1	2	21	10	3	28	2292	0
0.212	1	1	22	3	1	28	1095	0
0.213	1	1	22	4	1	28	1095	0
0.215	1	1	22	6	1	28	1095	0
0.216	1	1	22	7	1	28	1095	0
0.216	1	2	22	7	3	28	1095	0
0.217	1	1	22	8	1	28	1095	0
0.217	1	2	22	8	3	28	1095	0
0.218	1	2	22	9	3	28	2292	0
0.219	1	2	22	10	3	28	2292	0
0.22	1	2	23	1	3	28	2292	0
0.221	1	2	23	2	3	28	2292	0
0.222	1	1	23	3	1	28	1095	0
0.222	1	2	23	3	3	28	1095	0
0.223	1	1	23	4	1	28	1095	0
0.223	1	2	23	4	3	28	1095	0
0.224	1	2	23	5	3	28	2292	0
0.225	1	1	23	6	1	28	1095	0
0.225	1	2	23	6	3	28	1095	0
0.226	1	1	23	7	1	28	1095	0
0.226	1	2	23	7	3	28	1095	0
0.227	1	1	23	8	1	28	1095	0
0.227	1	2	23	8	3	28	1095	0
0.228	1	2	23	9	3	28	2292	0
0.231	1	2	24	2	3	28	2292	0
0.232	1	1	24	3	1	28	1095	0
0.233	1	1	24	4	1	28	1095	0
0.234	1	2	24	5	3	28	2292	0
0.235	1	2	24	6	3	28	1095	0
0.236	1	2	24	7	3	28	1095	0
0.237	1	2	24	8	3	28	1095	0
0.238	1	2	24	9	3	28	1095	0
0.239	1	1	24	10	1	28	1095	0
0.239	1	2	24	10	3	28	1095	0
0.24	1	1	25	1	1	28	1095	0
0.24	1	2	25	1	3	28	1095	0
0.241	1	2	25	2	3	28	2292	0
0.242	1	1	25	3	1	28	1095	0
0.242	1	2	25	3	3	28	1095	0
0.243	1	1	25	4	1	28	1095	0
0.243	1	2	25	4	3	28	1095	0
0.244	1	2	25	5	3	28	2292	0
0.245	1	1	25	6	1	28	1095	0
0.245	1	2	25	6	3	28	1095	0
0.246	1	1	25	7	1	28	1095	0
0.247	1	1	25	8	1	28	1095	0
0.248	1	1	25	9	1	28	1095	0
0.249	1	1	25	10	1	28	1095	0
0.25	1	1	26	1	1	28	1095	0
0.252	1	1	26	3	1	28	1095	0
0.253	1	1	26	4	1	28	1095	0
0.255	1	1	26	6	1	28	1095	0
0.256	1	1	26	7	1	28	1095	0
0.257	1	1	26	8	1	28	1095	0
0.262	1	1	27	3	1	28	1095	0
0.263	1	1	27	4	1	28	1095	0
0.265	1	1	27	6	1	28	1095	0
0.266	1	1	27	7	1	28	1095	0
0.267	1	1	27	8	1	28	1095	0
0.272	1	1	28	3	1	28	1095	0
0.273	1	1	28	4	1	28	1095	0
0.275	1	1	28	6	1	28	1095	0
0.276	1	1	28	7	1	28	1095	0
0.277	1	1	28	8	1	28	1095	0
0.282	1	1	29	3	1	28	1095	0
0.283	1	1	29	4	1	28	1095	0
0.283	1	2	29	4	3	28	1095	0
0.284	1	2	29	5	3	28	2292	0
0.285	1	1	29	6	1	28	1095	0
0.285	1	2	29	6	3	28	1095	0
0.286	1	1	29	7	1	28	1095	0
0.286	1	2	29	7	3	28	1095	0
0.287	1	1	29	8	1	28	1095	0
0.287	1	2	29	8	3	28	1095	0
0.288	1	2	29	9	3	28	2292	0
0.289	1	2	29	10	3	28	2292	0
0.292	1	1	30	3	1	28	1095	0
0.293	1	1	30	4	1	28	1095	0
0.295	1	1	30	6	1	28	1095	0
0.296	1	1	30	7	1	28	1095	0
0.297	1	1	30	8	1	28	1095	0
0.302	1	1	31	3	1	28	1095	0
0.303	1	1	31	4	1	28	1095	0
0.305	1	1	31	6	1	28	1095	0
0.306	1	1	31	7	1	28	1095	0
0.307	1	1	31	8	1	28	1095	0
0.312	1	1	32	3	1	28	1095	0
0.313	1	1	32	4	1	28	1095	0
0.315	1	1	32	6	1	28	1095	0
0.316	1	1	32	7	1	28	1095	0
0.317	1	1	32	8	1	28	1095	0
0.322	1	1	33	3	1	28	1095	0
