% time	cellId	IMSI	RNTI	layer	mcs	size	rv	ndi	ccId
32	1	1	1	0	0	85	0	1	0
33	1	1	1	0	0	85	0	1	0
34	1	1	1	0	0	85	0	1	0
35	1	1	1	0	0	85	0	1	0
36	1	1	1	0	0	85	0	1	0
37	1	1	1	0	0	85	0	1	0
38	1	1	1	0	0	85	0	1	0
39	1	1	1	0	28	2292	0	1	0
41	1	1	1	0	28	2292	0	1	0
42	1	1	1	0	28	2292	0	1	0
43	1	1	1	0	28	2292	0	1	0
48	1	1	1	0	28	2292	0	1	0
49	1	1	1	0	28	2292	0	1	0
51	1	1	1	0	28	2292	0	1	0
52	1	1	1	0	28	2292	0	1	0
58	1	1	1	0	28	2292	0	1	0
61	1	1	1	0	28	2292	0	1	0
62	1	1	1	0	28	2292	0	1	0
68	1	1	1	0	28	2292	0	1	0
71	1	1	1	0	28	2292	0	1	0
72	1	1	1	0	28	2292	0	1	0
78	1	1	1	0	28	2292	0	1	0
81	1	1	1	0	28	2292	0	1	0
82	1	1	1	0	28	2292	0	1	0
88	1	1	1	0	28	2292	0	1	0
91	1	1	1	0	28	2292	0	1	0
92	1	1	1	0	28	2292	0	1	0
98	1	1	1	0	28	2292	0	1	0
101	1	1	1	0	28	2292	0	1	0
102	1	1	1	0	28	2292	0	1	0
108	1	1	1	0	28	2292	0	1	0
111	1	1	1	0	28	2292	0	1	0
112	1	1	1	0	28	2292	0	1	0
118	1	1	1	0	28	2292	0	1	0
121	1	1	1	0	28	2292	0	1	0
122	1	1	1	0	28	2292	0	1	0
124	1	2	3	0	0	85	0	1	0
128	1	1	1	0	28	1095	0	1	0
129	1	1	1	0	28	1095	0	1	0
131	1	1	1	0	28	2292	0	1	0
132	1	1	1	0	28	2292	0	1	0
138	1	1	1	0	28	1095	0	1	0
139	1	1	1	0	28	1095	0	1	0
141	1	1	1	0	28	1095	0	1	0
142	1	1	1	0	28	1095	0	1	0
143	1	1	1	0	28	1095	0	1	0
148	1	1	1	0	28	1095	0	1	0
149	1	1	1	0	28	1095	0	1	0
151	1	1	1	0	28	1095	0	1	0
152	1	1	1	0	28	1095	0	1	0
153	1	1	1	0	28	1095	0	1	0
158	1	1	1	0	28	1095	0	1	0
159	1	1	1	0	28	1095	0	1	0
161	1	1	1	0	28	1095	0	1	0
162	1	1	1	0	28	1095	0	1	0
163	1	1	1	0	28	1095	0	1	0
168	1	1	1	0	28	1095	0	1	0
169	1	1	1	0	28	1095	0	1	0
171	1	1	1	0	28	1095	0	1	0
172	1	1	1	0	28	1095	0	1	0
173	1	1	1	0	28	1095	0	1	0
178	1	1	1	0	28	1095	0	1	0
179	1	1	1	0	28	1095	0	1	0
181	1	1	1	0	28	1095	0	1	0
182	1	1	1	0	28	1095	0	1	0
183	1	1	1	0	28	1095	0	1	0
188	1	1	1	0	28	1095	0	1	0
189	1	1	1	0	28	1095	0	1	0
191	1	1	1	0	28	1095	0	1	0
192	1	1	1	0	28	1095	0	1	0
193	1	1	1	0	28	1095	0	1	0
198	1	1	1	0	28	1095	0	1	0
199	1	1	1	0	28	1095	0	1	0
201	1	1	1	0	28	1095	0	1	0
202	1	1	1	0	28	1095	0	1	0
203	1	1	1	0	28	1095	0	1	0
208	1	1	1	0	28	1095	0	1	0
209	1	1	1	0	28	1095	0	1	0
211	1	1	1	0	28	1095	0	1	0
212	1	1	1	0	28	1095	0	1	0
213	1	1	1	0	28	1095	0	1	0
215	1	2	3	0	28	2292	0	1	0
218	1	1	1	0	28	1095	0	1	0
219	1	1	1	0	28	1095	0	1	0
221	1	1	1	0	28	1095	0	1	0
222	1	1	1	0	28	1095	0	1	0
223	1	1	1	0	28	1095	0	1	0
228	1	1	1	0	28	1095	0	1	0
229	1	1	1	0	28	1095	0	1	0
230	1	2	3	0	28	2292	0	1	0
231	1	1	1	0	28	1095	0	1	0
232	1	1	1	0	28	1095	0	1	0
233	1	1	1	0	28	1095	0	1	0
233	1	2	3	0	28	1095	0	1	0
238	1	1	1	0	28	1095	0	1	0
243	1	2	3	0	28	1095	0	1	0
245	1	1	1	0	28	1095	0	1	0
246	1	1	1	0	28	1095	0	1	0
248	1	1	1	0	28	1095	0	1	0
249	1	1	1	0	28	1095	0	1	0
251	1	1	1	0	28	1095	0	1	0
252	1	1	1	0	28	1095	0	1	0
253	1	1	1	0	28	1095	0	1	0
254	1	1	1	0	28	1095	0	1	0
255	1	1	1	0	28	1095	0	1	0
256	1	1	1	0	28	1095	0	1	0
258	1	1	1	0	28	1095	0	1	0
259	1	1	1	0	28	1095	0	1	0
261	1	1	1	0	28	1095	0	1	0
262	1	1	1	0	28	1095	0	1	0
263	1	1	1	0	28	1095	0	1	0
268	1	1	1	0	28	1095	0	1	0
269	1	1	1	0	28	1095	0	1	0
271	1	1	1	0	28	1095	0	1	0
272	1	1	1	0	28	1095	0	1	0
273	1	1	1	0	28	1095	0	1	0
278	1	1	1	0	28	1095	0	1	0
279	1	1	1	0	28	1095	0	1	0
281	1	1	1	0	28	1095	0	1	0
282	1	1	1	0	28	1095	0	1	0
283	1	1	1	0	28	1095	0	1	0
288	1	1	1	0	28	1095	0	1	0
289	1	1	1	0	28	1095	0	1	0
291	1	1	1	0	28	1095	0	1	0
292	1	1	1	0	28	1095	0	1	0
293	1	1	1	0	28	1095	0	1	0
298	1	1	1	0	28	1095	0	1	0
299	1	1	1	0	28	1095	0	1	0
301	1	1	1	0	28	1095	0	1	0
302	1	1	1	0	28	1095	0	1	0
303	1	1	1	0	28	1095	0	1	0
308	1	1	1	0	28	1095	0	1	0
309	1	1	1	0	28	1095	0	1	0
311	1	1	1	0	28	1095	0	1	0
312	1	1	1	0	28	1095	0	1	0
313	1	1	1	0	28	1095	0	1	0
318	1	1	1	0	28	1095	0	1	0
319	1	1	1	0	28	1095	0	1	0
321	1	1	1	0	28	1095	0	1	0
322	1	1	1	0	28	1095	0	1	0
323	1	1	1	0	28	1095	0	1	0
328	1	1	1	0	28	1095	0	1	0
329	1	1	1	0	28	1095	0	1	0
331	1	1	1	0	28	1095	0	1	0
332	1	1	1	0	28	1095	0	1	0
333	1	1	1	0	28	1095	0	1	0
338	1	1	1	0	28	1095	0	1	0
339	1	1	1	0	28	1095	0	1	0
341	1	1	1	0	28	1095	0	1	0
342	1	1	1	0	28	1095	0	1	0
343	1	1	1	0	28	1095	0	1	0
348	1	1	1	0	28	1095	0	1	0
349	1	1	1	0	28	1095	0	1	0
351	1	1	1	0	28	1095	0	1	0
352	1	1	1	0	28	1095	0	1	0
353	1	1	1	0	28	1095	0	1	0
358	1	1	1	0	28	1095	0	1	0
359	1	1	1	0	28	1095	0	1	0
361	1	1	1	0	28	1095	0	1	0
362	1	1	1	0	28	1095	0	1	0
363	1	1	1	0	28	1095	0	1	0
368	1	1	1	0	28	1095	0	1	0
369	1	1	1	0	28	1095	0	1	0
371	1	1	1	0	28	1095	0	1	0
372	1	1	1	0	28	1095	0	1	0
372	1	2	3	0	28	1095	0	1	0
373	1	1	1	0	28	1095	0	1	0
373	1	2	3	0	28	1095	0	1	0
378	1	1	1	0	28	1095	0	1	0
385	1	1	1	0	28	1095	0	1	0
386	1	1	1	0	28	1095	0	1	0
388	1	1	1	0	28	1095	0	1	0
389	1	1	1	0	28	1095	0	1	0
389	1	2	3	0	28	1095	0	1	0
391	1	1	1	0	28	1095	0	1	0
392	1	1	1	0	28	1095	0	1	0
393	1	1	1	0	28	1095	0	1	0
394	1	1	1	0	28	1095	0	1	0
395	1	1	1	0	28	1095	0	1	0
396	1	1	1	0	28	1095	0	1	0
396	1	2	3	0	28	1095	0	1	0
398	1	1	1	0	28	1095	0	1	0
399	1	1	1	0	28	1095	0	1	0
401	1	1	1	0	28	1095	0	1	0
402	1	1	1	0	28	1095	0	1	0
406	1	2	3	0	28	1095	0	1	0
407	1	1	1	0	28	1095	0	1	0
408	1	1	1	0	28	1095	0	1	0
409	1	1	1	0	28	1095	0	1	0
411	1	1	1	0	28	1095	0	1	0
412	1	1	1	0	28	1095	0	1	0
413	1	1	1	0	28	1095	0	1	0
418	1	1	1	0	28	1095	0	1	0
419	1	1	1	0	28	1095	0	1	0
421	1	1	1	0	28	1095	0	1	0
422	1	1	1	0	28	1095	0	1	0
423	1	1	1	0	28	1095	0	1	0
428	1	1	1	0	28	1095	0	1	0
429	1	1	1	0	28	1095	0	1	0
431	1	1	1	0	28	1095	0	1	0
432	1	1	1	0	28	1095	0	1	0
433	1	1	1	0	28	1095	0	1	0
438	1	1	1	0	28	1095	0	1	0
439	1	1	1	0	28	1095	0	1	0
441	1	1	1	0	28	1095	0	1	0
442	1	1	1	0	28	1095	0	1	0
443	1	1	1	0	28	1095	0	1	0
448	1	1	1	0	28	1095	0	1	0
449	1	1	1	0	28	1095	0	1	0
451	1	1	1	0	28	2292	0	1	0
452	1	1	1	0	28	2292	0	1	0
453	3	2	1	0	0	85	0	1	0
454	3	2	1	0	0	85	0	1	0
455	3	2	1	0	0	85	0	1	0
456	3	2	1	0	0	85	0	1	0
457	3	2	1	0	0	85	0	1	0
458	1	1	1	0	28	2292	0	1	0
458	3	2	1	0	0	85	0	1	0
459	3	2	1	0	0	85	0	1	0
460	3	2	1	0	28	2292	0	1	0
461	1	1	1	0	28	2292	0	1	0
461	3	2	1	0	28	2292	0	1	0
462	1	1	1	0	28	2292	0	1	0
463	3	2	1	0	28	2292	0	1	0
464	3	2	1	0	28	2292	0	1	0
465	1	1	1	0	28	2292	0	0	0
465	3	2	1	0	10	549	0	1	0
466	3	2	1	0	28	2292	0	1	0
467	3	2	1	0	28	2292	0	1	0
468	1	1	1	0	28	2292	0	0	0
468	3	2	1	0	28	2292	0	0	0
469	1	1	1	0	6	325	0	1	0
470	1	1	1	0	6	325	0	1	0
471	1	1	1	0	6	325	0	1	0
472	1	1	1	0	28	2292	0	1	0
473	3	2	1	0	28	2292	0	1	0
474	3	2	1	0	28	2292	0	1	0
